Date,open,high,low,close,volume,Network diameter,The average shortest path length of the network,The average clustering coefficient of the network,The average degree centrality of the network,Number of network nodes,number_of_nodes_for_largest_subgraph,The average degree of the network,bins,pagerank,ci_max,ci_global,retweeted,su,original
2015/1/22,0.1116,0.8657,-0.8916,0.59,353400,6,2.52195122,0,0.051219512,2429,41,1.703581721,"(0.0, 1.4]",0.366873012,17983,40548,2588,19304,16716
2015/1/23,0.4113,1.8976,-0.4502,0.25,366200,2,1.5,0,0.5,2258,4,1.671390611,"(0.0, 1.4]",0.479730574,8225,23409,2302,20019,17717
2015/1/26,-0.1345,0.9856,-0.9084,0.94,317500,2,1.875,0,0.125,1899,16,1.648235914,"(0.0, 1.4]",0.464523697,1824,4192,1889,18618,16729
2015/1/27,0.1972,0.2079,-2.7478,-0.89,374500,2,1.2,0.866666667,1.2,2254,5,1.71162378,"(-1.4, 0.0]",0.243426328,8041,24789,2228,20091,17863
2015/1/28,-0.8124,0.0549,-1.7389,-1.41,301900,2,1.333333333,0,0.666666667,2314,3,1.723422645,"(-4.2, -1.4]",0.486485824,20304,57919,2236,21289,19053
2015/1/29,-1.4139,-0.5733,-2.1628,-1.31,274700,16,6.697588397,0.00317486,0.001332454,3322,1611,1.832630945,"(-1.4, 0.0]",0.054943164,88506,185641,4321,21859,17538
2015/1/30,0.3507,0.8031,-1.5939,-1.59,258300,2,1.8,0,0.2,4666,10,1.936562366,"(-4.2, -1.4]",0.467565368,256608,815270,5956,23534,17578
2015/2/2,-1.9383,-1.0974,-2.7346,-2.56,250900,7,3.028571429,0,0.119047619,2823,21,1.797378675,"(-4.2, -1.4]",0.241253243,40020,94186,4321,23264,18943
2015/2/3,0.8882,2.5456,0.0458,2.45,248200,15,6.188053107,0.005216122,0.001675301,2913,1336,1.860624785,"(1.4, 4.2]",0.037247278,68500,161442,4464,21519,17055
2015/2/4,0.247,1.0632,-1.0535,-0.96,249100,17,6.108804787,0.003719213,0.000895462,4122,2463,1.935468219,"(-1.4, 0.0]",0.02337289,114695,511148,5820,24948,19128
2015/2/5,2.4286,2.4286,-1.2068,-1.18,306100,14,6.442797747,0.003388603,0.001009109,4409,2191,1.916987979,"(-1.4, 0.0]",0.017610001,63365,271555,6303,24996,18693
2015/2/6,-0.5242,-0.2229,-2.6651,-1.93,246700,19,7.063304303,0.003848489,0.001642999,3125,1335,1.84384,"(-4.2, -1.4]",0.025654116,21120,81125,5141,21387,16246
2015/2/9,-0.403,1.4021,-0.8712,0.62,206100,19,7.03826649,0.005812811,0.002308285,2487,929,1.773220748,"(0.0, 1.4]",0.031306864,20770,59069,4371,22707,18336
2015/2/10,-0.1497,1.5177,-0.3512,1.5,193800,2,1.75,0,0.25,2617,8,1.780664883,"(1.4, 4.2]",0.469596347,20468,69650,4369,21233,16864
2015/2/11,0.1328,0.7903,-0.0809,0.51,172800,1,1,0,1,2181,2,1.738651994,"(0.0, 1.4]",0.5,11765,35273,3470,18132,14662
2015/2/12,0.0081,0.762,-0.743,0.5,194600,18,7.239184495,0.001115698,0.003333981,2147,634,1.738239404,"(0.0, 1.4]",0.056436514,14175,29100,3690,17645,13955
2015/2/13,0.422,2.0087,0.2955,0.96,261300,18,7.162502169,0.003028806,0.006264099,1760,340,1.695454545,"(0.0, 1.4]",0.049302906,3783,9478,2314,20376,18062
2015/2/16,0.0721,0.7809,-0.2479,0.58,223800,1,1,0,1,2308,2,1.773830156,"(0.0, 1.4]",0.5,0,0,2389,17506,15117
2015/2/17,0.2644,1.0353,0.261,0.76,228300,2,1.894736842,0,0.105263158,2983,19,1.829031177,"(0.0, 1.4]",0.463730891,63680,68878,3049,15922,12873
2015/2/25,0.2948,0.3177,-0.9657,-0.56,233300,13,5.666108361,0,0.005136413,1855,402,1.680862534,"(-1.4, 0.0]",0.073027358,6708,19612,1875,17434,15559
2015/2/26,-0.2073,2.2229,-0.8255,2.15,301300,1,1,0,1,1737,2,1.717904433,"(1.4, 4.2]",0.5,6726,19043,2407,19580,17173
2015/2/27,-0.0463,0.7939,-0.2229,0.36,299200,0,0,0,1,1827,1,1.718664477,"(0.0, 1.4]",1,11000,24735,2974,19632,16658
2015/3/2,0.6772,0.7992,-0.3514,0.78,346400,0,0,0,1,3312,1,1.77173913,"(0.0, 1.4]",1,62792,80568,5145,24286,19141
2015/3/3,-0.5572,-0.5572,-2.2737,-2.2,382000,2,1.333333333,0,0.666666667,2805,3,1.736898396,"(-4.2, -1.4]",0.486485824,12546,25681,4295,23934,19639
2015/3/4,0.0346,0.7213,-0.3852,0.51,293600,23,7.700763359,0.007959464,0.003991276,2555,525,1.744031311,"(0.0, 1.4]",0.094667405,11628,16642,3847,23474,19627
2015/3/5,-0.471,-0.3932,-1.7645,-0.95,320700,1,1,0,1,2336,2,1.70890411,"(-1.4, 0.0]",0.5,2565,6353,3703,23028,19325
2015/3/6,-0.0136,0.5682,-0.4292,-0.22,282900,0,0,0,1,5243,1,1.892427999,"(-1.4, 0.0]",1,261387,276986,6445,24272,17827
2015/3/9,-0.5206,2.0522,-1.321,1.89,321500,20,6.735538608,0.001704863,0.001420496,3045,1473,1.829885057,"(1.4, 4.2]",0.205336288,31512,65347,4206,23248,19042
2015/3/10,-0.4034,0.2273,-0.7665,-0.49,285800,0,0,0,1,3672,1,1.821895425,"(-1.4, 0.0]",1,33116,55611,4727,24431,19704
2015/3/11,0.1073,1.1864,-0.2312,0.15,283000,2,1.714285714,0,0.285714286,2756,7,1.783744557,"(0.0, 1.4]",0.471041052,7144,20464,4026,24595,20569
2015/3/12,0.7266,2.1014,0.2914,1.78,357300,1,1,0,1,2597,2,1.739699653,"(1.4, 4.2]",0.5,4590,15496,3957,23711,19754
2015/3/13,0.3035,1.252,0.0844,0.7,328400,19,7.660332941,0.007781504,0.003434377,2531,627,1.765310154,"(0.0, 1.4]",0.059001919,4536,12458,3798,23578,19780
