Date,open,high,low,close,volume,sub_density,diameter,average_shortest_path_length,average_clustering,average_pageRank_score,average_degree_centrality,group,number_of_nodes,number_of_nodes_for_largest_subgraph,number_of_edges_for_largest_subgraph,average_degree,average_degree_sub,bins,pr,pagerank,ci,ci_sum
2015/3/6,-0.0136,0.5682,-0.4292,-0.22,282900,0,0,0,0,1,1,2,5243,1,1,1.892427999,2,"(-1.4, 0.0]",1,1,261387,276986
2015/3/9,-0.5206,2.0522,-1.321,1.89,321500,0.001420496,20,6.735538608,0.001704863,0.000678887,0.001420496,1,3045,1473,1540,1.829885057,2.090970808,"(1.4, 4.2]",0.205336288,0.205336288,31512,65347
2015/3/10,-0.4034,0.2273,-0.7665,-0.49,285800,0,0,0,0,1,1,2,3672,1,1,1.821895425,2,"(-1.4, 0.0]",1,1,33116,55611
2015/3/11,0.1073,1.1864,-0.2312,0.15,283000,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,2756,7,6,1.783744557,1.714285714,"(0.0, 1.4]",0.471041052,0.471041052,7144,20464
2015/3/12,0.7266,2.1014,0.2914,1.78,357300,1,1,1,0,0.5,1,1,2597,2,1,1.739699653,1,"(1.4, 4.2]",0.5,0.5,4590,15496
2015/3/13,0.3035,1.252,0.0844,0.7,328400,0.003434377,19,7.660332941,0.007781504,0.001594896,0.003434377,1,2531,627,674,1.765310154,2.149920255,"(0.0, 1.4]",0.059001919,0.059001919,4536,12458
2015/3/16,0.541,2.2649,0.1238,2.26,399100,1,1,1,0,0.5,1,1,2682,2,1,1.754660701,1,"(1.4, 4.2]",0.5,0.5,6018,7938
2015/3/17,0.5885,1.5893,0.3012,1.55,520900,0,0,0,0,1,1,1,2884,1,1,1.783633842,2,"(1.4, 4.2]",1,1,16464,55498
2015/3/18,0.2185,2.1358,0.0287,2.13,545200,0.001979499,20,8.081610172,0.002956134,0.00091659,0.001979499,1,3156,1091,1177,1.818757921,2.157653529,"(1.4, 4.2]",0.028314062,0.028314062,7344,33911
2015/3/19,-0.0358,0.6537,-0.8514,0.14,537300,0.4,2,1.666666667,0,0.166666667,0.4,1,2997,6,6,1.728395062,2,"(0.0, 1.4]",0.512196116,0.512196116,2080,8281
2015/3/20,0.1344,1.3976,-0.3599,0.98,516700,2,1,1,0,0.5,2,1,4216,2,2,1.890417457,2,"(0.0, 1.4]",0.649122638,0.649122638,46789,129429
2015/3/23,0.6299,1.9609,0.5022,1.95,536100,0.001960765,18,6.98859802,0.00436016,0.000915751,0.001960765,1,3646,1092,1168,1.821722436,2.139194139,"(1.4, 4.2]",0.033236548,0.033236548,30996,77612
2015/3/24,0.1313,0.7632,-2.36,0.1,639600,0.000821023,20,7.502910944,0.001152235,0.000394477,0.000821023,1,5105,2535,2637,1.849951028,2.080473373,"(0.0, 1.4]",0.194817265,0.194817265,55848,126314
2015/3/25,-0.2833,0.0472,-1.5401,-0.83,521900,0.001117592,18,7.051680907,0.003174041,0.000515464,0.001117592,2,4686,1940,2102,1.876653863,2.167010309,"(-1.4, 0.0]",0.025764436,0.025764436,50616,183488
