Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2015/2/5,2.4286,2.4286,-1.2068,-1.18,306100,4655,3913,2621,2718,869
2015/2/6,-0.5242,-0.2229,-2.6651,-1.93,246700,4013,3478,2207,2485,679
2015/2/9,-0.403,1.4021,-0.8712,0.62,206100,4182,3335,2138,2505,751
2015/2/10,-0.1497,1.5177,-0.3512,1.5,193800,3721,3431,1952,2451,745
2015/2/11,0.1328,0.7903,-0.0809,0.51,172800,3262,2691,1609,2297,556
2015/2/12,0.0081,0.762,-0.743,0.5,194600,3230,2547,1542,2365,546
2015/2/13,0.422,2.0087,0.2955,0.96,261300,3285,2642,1557,1713,663
2015/2/16,0.0721,0.7809,-0.2479,0.58,223800,2848,2431,1334,1188,579
2015/2/17,0.2644,1.0353,0.261,0.76,228300,2850,2175,1298,1054,559
2015/2/25,0.2948,0.3177,-0.9657,-0.56,233300,3001,2438,1609,1110,566
2015/2/26,-0.2073,2.2229,-0.8255,2.15,301300,3278,2814,1577,1776,623
2015/2/27,-0.0463,0.7939,-0.2229,0.36,299200,3478,2876,1433,2544,565
2015/3/2,0.6772,0.7992,-0.3514,0.78,346400,4329,3582,1921,3056,819
2015/3/3,-0.5572,-0.5572,-2.2737,-2.2,382000,4092,3498,1988,3021,795
2015/3/4,0.0346,0.7213,-0.3852,0.51,293600,3825,3180,2195,2925,695
2015/3/5,-0.471,-0.3932,-1.7645,-0.95,320700,3818,3197,1885,3119,668
2015/3/6,-0.0136,0.5682,-0.4292,-0.22,282900,4256,3571,2174,2819,733
2015/3/9,-0.5206,2.0522,-1.321,1.89,321500,4467,3493,2173,2553,696
2015/3/10,-0.4034,0.2273,-0.7665,-0.49,285800,4692,3616,2025,2743,707
2015/3/11,0.1073,1.1864,-0.2312,0.15,283000,4392,3306,2091,3353,834
2015/3/12,0.7266,2.1014,0.2914,1.78,357300,4235,3272,2037,2997,697
2015/3/13,0.3035,1.252,0.0844,0.7,328400,4258,3264,2370,2857,599
2015/3/16,0.541,2.2649,0.1238,2.26,399100,4379,3601,2242,2143,692
2015/3/17,0.5885,1.5893,0.3012,1.55,520900,5075,3851,2495,2686,823
2015/3/18,0.2185,2.1358,0.0287,2.13,545200,4824,4117,3012,3528,893
2015/3/19,-0.0358,0.6537,-0.8514,0.14,537300,4877,3995,2610,3655,825
2015/3/20,0.1344,1.3976,-0.3599,0.98,516700,5477,4479,2923,3341,1015
2015/3/23,0.6299,1.9609,0.5022,1.95,536100,4957,4580,3162,3364,898
2015/3/24,0.1313,0.7632,-2.36,0.1,639600,5820,4918,3065,3823,1027
2015/3/25,-0.2833,0.0472,-1.5401,-0.83,521900,5522,4743,2813,3946,971
2015/3/26,-0.5132,1.2727,-1.2488,0.58,488600,5112,4696,3174,4726,857
2015/3/27,0.1097,0.7708,-0.6861,0.24,408900,4691,4476,2987,3425,866
2015/3/30,0.5287,2.8403,0.5287,2.59,564700,5601,5030,3900,3490,916
2015/3/31,0.9618,1.294,-1.3079,-1.02,561700,5345,4846,3776,3514,911
2015/4/1,0.0118,1.8459,-0.1517,1.66,447500,5076,4073,2987,3750,830
2015/4/2,0.4565,0.6602,-0.9028,0.41,479300,5659,4530,3481,2827,893
2015/4/3,-0.5855,1.0095,-0.8775,1,473000,5517,4895,2920,2170,961
2015/4/7,0.9185,2.5295,0.7195,2.52,570400,5218,5503,3748,3040,1102
2015/4/8,0.3825,0.9805,-1.4573,0.84,618100,5448,5910,3838,3329,1011
2015/4/9,0.2833,0.5403,-2.3727,-0.93,585200,5449,5558,3597,3210,1019
2015/4/10,-0.2537,2.0926,-0.7129,1.94,484300,4275,3884,2528,2442,786
2015/4/13,0.9522,2.3241,0.5697,2.17,589800,5138,5785,3917,3361,1196
2015/4/14,0.0987,1.1314,-0.739,0.34,610700,5828,6109,3762,3334,1186
2015/4/15,0.002,0.9655,-1.6094,-1.24,613000,5003,5513,4042,3190,1067
2015/4/16,-0.6916,2.7213,-1.2957,2.71,551200,5010,4836,3596,2845,963
2015/4/17,1.4279,2.9179,1.051,2.2,701700,5546,5369,3836,2616,1122
2015/4/20,0.3279,1.6025,-2.2535,-1.64,857100,7488,6821,4840,2566,1314
2015/4/21,-0.116,1.833,-0.676,1.82,634500,6905,6179,4206,2743,1145
2015/4/22,0.2556,2.482,0.1008,2.44,680300,6890,6437,4322,3267,1272
2015/4/23,0.3635,1.0439,-0.9014,0.36,667300,7467,6569,4122,2774,1254
2015/4/24,-1.3265,0.0423,-2.1835,-0.47,628600,6147,5649,3506,3903,1108
2015/4/27,1.098,3.0965,1.098,3.04,671100,7439,5800,3686,3535,1178
2015/4/28,0.0053,0.9938,-2.0871,-1.13,767700,6266,6047,3613,4381,1152
2015/4/29,-0.6723,0.5301,-1.7331,0.01,519800,5898,5598,3488,3556,1174
2015/4/30,0.1428,0.6863,-0.7945,-0.78,526700,5864,5690,3365,4451,1307
2015/5/4,-0.007,1.0337,-1.2209,0.87,494200,5682,5691,3416,4169,1152
2015/5/5,-0.0137,0.1875,-4.4243,-4.06,572900,6912,6611,4133,5904,1272
2015/5/6,0.3009,1.8063,-2.59,-1.62,481700,6815,7017,4650,5939,1314
2015/5/7,-0.7417,-0.3665,-2.8671,-2.77,394600,6895,7396,4617,6475,1400
2015/5/8,0.9914,2.3016,-0.3203,2.28,397400,6159,6674,3956,6071,1272
2015/5/11,0.6028,3.0662,-0.4303,3.04,488800,5711,5945,3689,4448,1193
2015/5/12,0.2027,1.5859,-0.3602,1.56,521900,14031,16937,8014,8628,4151
2015/5/13,0.0263,0.3274,-1.3346,-0.58,510500,9135,11880,6276,7711,3227
2015/5/14,-0.0673,0.5024,-1.0676,0.06,449100,6082,6551,4060,5193,1638
2015/5/15,-0.2624,-0.2624,-2.2785,-1.59,439700,5030,5156,2914,4826,1031
2015/5/18,-0.7147,0.3745,-1.1183,-0.58,380100,4697,4386,2684,3668,835
2015/5/19,0.0534,3.1496,0.0534,3.13,436700,5674,5132,3201,4834,1069
2015/5/20,0.3945,2.3313,0.3334,0.65,514100,5289,4857,2970,5272,957
2015/5/21,0.2282,1.8935,-0.1806,1.87,465000,5520,5084,3476,5609,1015
2015/5/22,1.2267,2.8448,0.7411,2.83,655600,4965,5196,3094,5354,1011
2015/5/25,0.0532,3.3725,-0.0166,3.35,682500,5496,5670,3499,4205,941
2015/5/26,0.8528,2.0335,-0.7213,2.02,704900,5755,6197,3720,5013,1176
2015/5/27,0.4469,0.9623,-1.0964,0.63,681200,6139,6233,3741,5960,1279
2015/5/28,0.041,0.9063,-6.6267,-6.5,783000,9695,11575,6361,7629,2366
2015/5/29,-0.3636,1.6866,-4.0842,-0.18,611300,8559,9326,5435,5648,1929
2015/6/1,0.463,4.7218,0.0756,4.71,593400,5782,5648,3328,2670,1179
2015/6/2,0.3307,1.7155,-0.6458,1.69,623700,5967,5855,3761,2915,1150
2015/6/3,0.2821,0.6423,-1.7938,-0.01,611500,5129,5358,3319,2446,1226
2015/6/4,0.0604,0.7737,-5.3477,0.76,675000,6535,7097,4096,2697,1631
2015/6/5,1.3945,2.1128,-0.9912,1.54,772200,5685,6161,3586,2359,1326
2015/6/8,0.4499,2.4657,-0.5099,2.17,855000,5266,5983,3703,2570,1092
2015/6/9,0.2747,0.3035,-1.7327,-0.36,729900,5161,5487,3297,2829,1101
2015/6/10,-1.2582,0.9901,-2.1912,-0.15,597000,5233,5610,3469,3207,1117
2015/6/11,-0.09,0.3216,-1.0825,0.3,564000,4870,5299,3218,3022,946
2015/6/12,0.4247,1.1051,-0.3552,0.87,625600,5521,5271,3184,2293,1071
2015/6/15,0.1562,0.2022,-2.2764,-2,637800,5751,5824,3657,1877,1041
2015/6/16,-1.157,-0.6579,-4.3629,-3.47,550800,6972,7580,4574,2630,1332
2015/6/17,0.0638,1.9688,-2.4597,1.65,537100,6175,6506,3885,2187,1239
2015/6/18,-0.5108,-0.0228,-3.7647,-3.67,507400,5952,6617,3876,2021,1288
2015/6/19,-1.9941,-0.8625,-6.4542,-6.42,452700,11827,13075,7171,3716,2747
2015/6/23,-0.1507,2.2235,-4.7694,2.19,473500,7316,7458,4356,2099,1338
2015/6/24,0.6137,2.5189,-0.5324,2.48,543000,5652,5734,3368,2028,1087
