Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/2/25,-0.56,5060,12374,812,1825,7700,8276,1458,"(-1.4, 0.0]"
2015/2/26,2.15,5367,14213,1021,2431,8206,9743,1631,"(1.4, 4.2]"
2015/2/27,0.36,5652,13980,1244,2602,7949,10214,1469,"(0.0, 1.4]"
2015/3/2,0.78,7210,17076,1573,3096,8784,13335,2167,"(0.0, 1.4]"
2015/3/3,-2.2,6605,17329,1337,3400,9144,12694,2096,"(-4.2, -1.4]"
2015/3/4,0.51,6948,16526,1338,3403,9730,11882,1862,"(0.0, 1.4]"
2015/3/5,-0.95,6163,16865,991,3629,9239,12045,1744,"(-1.4, 0.0]"
2015/3/6,-0.22,6834,17438,1558,3731,9265,13195,1812,"(-1.4, 0.0]"
2015/3/9,1.89,6090,17158,1241,3536,8475,12515,2258,"(1.4, 4.2]"
2015/3/10,-0.49,7078,17353,1399,3750,8996,13200,2235,"(-1.4, 0.0]"
2015/3/11,0.15,6952,17643,1608,3679,9422,13180,1993,"(0.0, 1.4]"
2015/3/12,1.78,6754,16957,1683,3138,9310,12432,1969,"(1.4, 4.2]"
2015/3/13,0.7,7243,16335,1703,3067,9011,12490,2077,"(0.0, 1.4]"
2015/3/16,2.26,7807,17718,1651,3105,11067,12364,2094,"(1.4, 4.2]"
2015/3/17,1.55,8768,19870,2124,3992,11686,14397,2555,"(1.4, 4.2]"
2015/3/18,2.13,9197,21140,2146,4072,11904,16038,2395,"(1.4, 4.2]"
2015/3/19,0.14,9416,20068,2479,4247,11373,15788,2323,"(0.0, 1.4]"
2015/3/20,0.98,9502,21141,2189,3955,10897,17189,2557,"(0.0, 1.4]"
2015/3/23,1.95,7484,21014,1461,3864,9222,16714,2562,"(1.4, 4.2]"
2015/3/24,0.1,10290,23535,2022,4086,12228,18920,2677,"(0.0, 1.4]"
2015/3/25,-0.83,9581,22511,2008,4632,11292,18239,2561,"(-1.4, 0.0]"
2015/3/26,0.58,8582,22017,1619,4083,8795,19406,2398,"(0.0, 1.4]"
2015/3/27,0.24,8234,20633,1718,3623,10754,15841,2272,"(0.0, 1.4]"
2015/3/30,2.59,8814,25998,1877,4434,11817,20602,2393,"(1.4, 4.2]"
2015/3/31,-1.02,8707,25058,2007,4449,11955,19155,2655,"(-1.4, 0.0]"
2015/4/1,1.66,8450,22987,2037,4506,11444,17598,2395,"(1.4, 4.2]"
2015/4/2,0.41,7473,25030,1460,4874,12020,17986,2497,"(0.0, 1.4]"
2015/4/3,1,6266,22939,1140,4361,9549,17014,2642,"(0.0, 1.4]"
2015/4/7,2.52,7107,23164,1015,3375,7861,19348,3062,"(1.4, 4.2]"
2015/4/8,0.84,7494,23383,994,3446,7308,20222,3347,"(0.0, 1.4]"
2015/4/9,-0.93,7552,22652,997,3312,7652,19605,2947,"(-1.4, 0.0]"
2015/4/10,1.94,4719,17176,699,2619,5141,14154,2600,"(1.4, 4.2]"
2015/4/13,2.17,7834,24277,1568,4606,8129,20090,3892,"(1.4, 4.2]"
2015/4/14,0.34,8566,24056,1457,3734,7782,21497,3343,"(0.0, 1.4]"
2015/4/15,-1.24,8470,21795,1517,3023,7454,19790,3021,"(-1.4, 0.0]"
2015/4/16,2.71,7386,20634,1237,3016,7188,18138,2694,"(1.4, 4.2]"
2015/4/17,2.2,8456,23028,1231,3265,9170,19380,2934,"(1.4, 4.2]"
2015/4/20,-1.64,9614,28446,1331,3714,9297,24805,3958,"(-4.2, -1.4]"
2015/4/21,1.82,8652,25809,1106,3826,8680,22414,3367,"(1.4, 4.2]"
2015/4/22,2.44,10604,27671,1387,3935,11092,23765,3418,"(1.4, 4.2]"
2015/4/23,0.36,10038,29038,1305,4002,11893,23475,3708,"(0.0, 1.4]"
2015/4/24,-0.47,8593,26461,1146,3996,10262,21697,3095,"(-1.4, 0.0]"
2015/4/27,3.04,9039,28325,980,4219,9436,24662,3266,"(1.4, 4.2]"
2015/4/28,-1.13,9688,27471,1180,3994,8660,25095,3404,"(-1.4, 0.0]"
2015/4/29,0.01,9629,26043,1313,3952,8467,24229,2976,"(0.0, 1.4]"
2015/4/30,-0.78,10200,25277,1440,4127,8702,24144,2631,"(-1.4, 0.0]"
2015/5/4,0.87,10005,24737,1154,3641,9084,22984,2674,"(0.0, 1.4]"
2015/5/5,-4.06,11107,30758,1243,4292,9008,29302,3555,"(-4.2, -1.4]"
2015/5/6,-1.62,11413,32263,1300,4186,9636,30436,3604,"(-4.2, -1.4]"
2015/5/7,-2.77,12625,33940,1268,3810,9976,32977,3612,"(-4.2, -1.4]"
2015/5/8,2.28,11075,31041,1219,3791,8869,29785,3462,"(1.4, 4.2]"
2015/5/11,3.04,8751,26217,1234,3951,8500,23182,3286,"(1.4, 4.2]"
2015/5/12,1.56,30142,59125,3851,8404,25350,60632,3285,"(1.4, 4.2]"
2015/5/13,-0.58,22406,42782,3364,6959,16132,46100,2956,"(-1.4, 0.0]"
2015/5/14,0.06,12179,27912,1923,4747,9404,27809,2878,"(0.0, 1.4]"
2015/5/15,-1.59,8825,23326,1217,3938,6545,22897,2709,"(-4.2, -1.4]"
2015/5/18,-0.58,7690,20894,1042,3207,6826,19478,2280,"(-1.4, 0.0]"
2015/5/19,3.13,8270,25175,1097,4145,7485,23195,2765,"(1.4, 4.2]"
2015/5/20,0.65,7498,24468,1190,4019,7030,22211,2725,"(0.0, 1.4]"
2015/5/21,1.87,8680,25268,1268,3819,7866,23506,2576,"(1.4, 4.2]"
2015/5/22,2.83,8114,23548,1269,3881,6471,22426,2765,"(1.4, 4.2]"
2015/5/25,3.35,7867,24649,1196,4211,6900,22655,2961,"(1.4, 4.2]"
2015/5/26,2.02,9126,26994,1329,4845,7888,25281,2951,"(1.4, 4.2]"
2015/5/27,0.63,9975,28469,1651,5234,7934,27414,3096,"(0.0, 1.4]"
2015/5/28,-6.5,20431,42933,2480,5769,12092,46684,4588,"(-10.0, -4.2]"
2015/5/29,-0.18,16778,36733,2023,4334,11560,37945,4006,"(-1.4, 0.0]"
2015/6/1,4.71,8564,23312,1126,3075,7269,21574,3033,"(4.2, 10.0]"
2015/6/2,1.69,9009,23929,1353,3844,7582,22349,3007,"(1.4, 4.2]"
2015/6/3,-0.01,8448,21588,1243,3197,7192,20146,2698,"(-1.4, 0.0]"
2015/6/4,0.76,11138,26835,1604,3850,8816,25858,3299,"(0.0, 1.4]"
2015/6/5,1.54,9975,24082,1517,3639,8171,22764,3122,"(1.4, 4.2]"
2015/6/8,2.17,8499,23635,1311,3348,7336,21612,3186,"(1.4, 4.2]"
2015/6/9,-0.36,8333,22176,1488,3709,6701,20975,2833,"(-1.4, 0.0]"
2015/6/10,-0.15,9144,23732,1631,4291,6987,22815,3074,"(-1.4, 0.0]"
