Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/6/11,0.3,8342,21673,1356,3782,6247,20858,2910,"(0.0, 1.4]"
2015/6/12,0.87,9449,21351,1672,3523,6625,21171,3004,"(0.0, 1.4]"
2015/6/15,-2,9016,22084,1524,3634,7199,20442,3459,"(-4.2, -1.4]"
2015/6/16,-3.47,12509,28695,1672,3997,11121,26396,3687,"(-4.2, -1.4]"
2015/6/17,1.65,10418,24580,1483,3490,8425,22910,3663,"(1.4, 4.2]"
2015/6/18,-3.67,9990,24889,1487,3747,8605,22840,3434,"(-4.2, -1.4]"
2015/6/19,-6.42,21829,44714,2254,4484,14313,46703,5527,"(-10.0, -4.2]"
2015/6/23,2.19,12161,28012,1652,3618,10750,25882,3541,"(1.4, 4.2]"
2015/6/24,2.48,9517,22686,1308,3418,8504,20545,3154,"(1.4, 4.2]"
2015/6/25,-3.46,9821,22494,1704,4052,8553,20954,2808,"(-4.2, -1.4]"
2015/6/26,-7.4,25231,54420,2905,5796,18794,55310,5547,"(-10.0, -4.2]"
2015/6/29,-3.34,30087,66377,3607,6894,32236,58326,5902,"(-4.2, -1.4]"
2015/6/30,5.53,19222,51617,2388,5769,21572,44009,5258,"(4.2, 10.0]"
2015/7/1,-5.23,20344,51422,2846,6384,23632,42755,5379,"(-10.0, -4.2]"
2015/7/2,-3.48,25990,75279,2890,7801,35253,59386,6630,"(-4.2, -1.4]"
2015/7/3,-5.77,25376,72156,2915,7061,30236,60695,6601,"(-10.0, -4.2]"
2015/7/6,2.41,25972,65334,3375,7620,28900,55440,6966,"(1.4, 4.2]"
2015/7/7,-1.29,25078,69430,2963,7705,29733,58596,6179,"(-1.4, 0.0]"
2015/7/8,-5.9,34134,86867,4261,11199,38712,72853,9436,"(-10.0, -4.2]"
2015/7/9,5.76,29690,68203,4130,9035,32489,57666,7738,"(4.2, 10.0]"
2015/7/10,4.54,17499,45125,2340,6083,19987,37464,5173,"(4.2, 10.0]"
2015/7/13,2.39,10840,29811,1325,4178,13168,23518,3965,"(1.4, 4.2]"
2015/7/14,-1.16,9330,26069,971,2939,12115,20086,3198,"(-1.4, 0.0]"
2015/7/15,-3.03,8833,25730,1017,2860,11296,20531,2736,"(-4.2, -1.4]"
2015/7/16,0.46,10876,23012,1363,3226,11214,20032,2642,"(0.0, 1.4]"
2015/7/17,3.51,7237,18132,918,2463,8289,14715,2365,"(1.4, 4.2]"
2015/7/20,0.88,7146,20739,708,2520,8928,16260,2697,"(0.0, 1.4]"
2015/7/21,0.64,6849,19710,870,2660,8567,15395,2597,"(0.0, 1.4]"
2015/7/22,0.21,7338,19049,1071,2941,8550,14940,2897,"(0.0, 1.4]"
2015/7/23,2.43,7320,17969,1028,2608,8636,14203,2450,"(1.4, 4.2]"
2015/7/24,-1.29,7096,18761,876,2221,9385,14118,2354,"(-1.4, 0.0]"
2015/7/27,-8.48,10495,26099,1262,2673,12478,20904,3212,"(-10.0, -4.2]"
2015/7/28,-1.68,9291,27889,1001,3199,11548,22124,3508,"(-4.2, -1.4]"
2015/7/29,3.44,8197,22897,1105,2909,10043,18000,3051,"(1.4, 4.2]"
2015/7/30,-2.2,7529,20907,1038,2740,9471,16411,2554,"(-4.2, -1.4]"
2015/7/31,-1.13,7052,19787,984,2760,8491,15818,2530,"(-1.4, 0.0]"
2015/8/3,-1.11,7003,20341,923,2853,10580,14343,2421,"(-1.4, 0.0]"
2015/8/4,3.69,8302,24302,1065,3126,12434,17851,2319,"(1.4, 4.2]"
2015/8/5,-1.65,11602,31532,1351,3827,16618,23517,2999,"(-4.2, -1.4]"
